id,ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,salary,positions,Lat,Long,mtg30,mtg_by_sal,mbs,rent12,rent_by_sal,rbs,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,rank
43,47,Hartford,CT,"$60,040","$215,542","$1,057",60.7,41.5,40.7,3.8%,"$155,406","$48,875",46,41.7661,-72.6834,"$7,190 ",15%,15,"$12,684",26%,26,21%,20.5,59,106,67.5,43
38,49,Kansas City,MO,"$49,460","$201,900",$894,64.6,44.5,37.1,3.2%,"$157,990","$63,928",44,39.1239,-94.5541,"$7,309 ",11%,11,"$10,728",17%,17,14%,14,28,77,63,38
39,50,Pittsburgh,PA,"$48,580","$140,855",$776,60.6,41.9,43,4.6%,"$158,964","$54,999",49,40.4396,-79.9763,"$7,354 ",13%,13,"$9,312",17%,17,15%,15,41,91,65,39
37,52,Buffalo,NY,"$48,180","$144,300",$763,56.3,40.2,40.8,4.4%,"$102,896","$64,065",12,42.9017,-78.8487,"$4,760 ",7%,7,"$9,156",14%,14,11%,10.5,12,64,62.5,37
45,53,Richmond,VA,"$49,840","$225,767","$1,044",69.6,48.1,38.5,2.8%,"$240,257","$67,878",27,37.5295,-77.4756,"$11,115 ",16%,16,"$12,528",18%,18,17%,17,63,116,70,45
41,54,Syracuse,NY,"$49,850","$132,500",$804,57.6,38.9,39.2,4.2%,"$98,555","$58,820",13,43.0409,-76.1438,"$4,560 ",8%,8,"$9,648",16%,16,12%,12,15,69,66,41
42,55,Chattanooga,TN,"$42,870","$164,550",$771,71.6,50.1,40.1,3.3%,"$164,328","$76,631",2,35.0657,-85.2487,"$7,602 ",10%,10,"$9,252",12%,12,11%,11,21,76,66,42
47,56,Tampa,FL,"$46,080","$199,717","$1,014",81.7,65.1,42,2.9%,"$251,269","$73,775",62,27.9942,-82.4451,"$11,625 ",16%,16,"$12,168",16%,16,16%,16,60,116,72,47
50,57,Atlanta,GA,"$51,390","$209,658","$1,053",71.8,53.2,36.1,3.0%,"$300,255","$71,850",170,33.7627,-84.4225,"$13,891 ",19%,19,"$12,636",18%,18,19%,18.5,72,129,75.5,50
49,58,Rochester,NY,"$49,570","$135,042",$848,57.1,39.3,39.9,4.2%,"$128,115","$47,319",7,43.168,-77.6162,"$5,927 ",13%,13,"$10,176",22%,22,18%,17.5,45,103,75.5,49
52,59,Lakeland,FL,"$40,560","$171,967",$913,85.2,62.7,40.4,3.4%,"$178,985","$53,962",3,28.0557,-81.9545,"$8,281 ",15%,15,"$10,956",20%,20,18%,17.5,55,114,76.5,52
83,60,Honolulu,HI,"$54,030","$581,658","$1,653",84.4,70.9,37.6,2.1%,"$977,282","$59,944",11,21.3294,-157.846,"$45,213 ",75%,75,"$19,836",33%,33,54%,54,108,168,114,83
46,61,Milwaukee,WI,"$50,070","$207,400",$864,55.5,40,37.6,3.7%,"$131,152","$79,710",25,43.0642,-87.9673,"$6,068 ",8%,8,"$10,368",13%,13,11%,10.5,14,75,71.5,46
55,63,Orlando,FL,"$44,410","$233,050","$1,107",82.8,62.8,36.9,2.7%,"$267,171","$72,547",49,28.4772,-81.3369,"$12,360 ",17%,17,"$13,284",18%,18,18%,17.5,66,129,80.5,55
56,64,Louisville,KY,"$45,100","$167,300",$792,67.7,48.5,38.8,3.7%,"$179,855","$48,913",17,38.1663,-85.6485,"$8,321 ",17%,17,"$9,504",19%,19,18%,18,68,132,82,56
58,65,Spokane,WA,"$47,320","$221,800",$833,57.6,38.6,38.3,5.4%,"$254,665","$51,895",6,47.6671,-117.433,"$11,782 ",23%,23,"$9,996",19%,19,21%,21,80,145,86,58
